LOC_00014334-mRNA-1	tr|Q17G50|Q17G50_AEDAE	***	Major facilitator superfamily (MFS) profile domain-containing protein		GO:0016020, GO:0022857, GO:0055085
LOC_00014334-mRNA-2	tr|Q17G50|Q17G50_AEDAE	***	Major facilitator superfamily (MFS) profile domain-containing protein		GO:0016020, GO:0022857, GO:0055085
LOC_00014408-mRNA-1	tr|B0X291|B0X291_CULQU	***	N-acyl-aliphatic-L-amino acid amidohydrolase		GO:0004046, GO:0005737, GO:0006520, GO:0016787, GO:0046872
LOC_00014483-mRNA-1	tr|A0A6I8TEH1|A0A6I8TEH1_AEDAE	*-*	FERM domain-containing protein 8		GO:0005856, GO:0009887, GO:0030182, GO:0071944
LOC_00014278-mRNA-1	tr|A0A8D8GDQ6|A0A8D8GDQ6_CULPI	***	Ferrochelatase		GO:0004325, GO:0005743, GO:0006779, GO:0006783, GO:0016829
LOC_00014278-mRNA-2	tr|A0A8D8GDQ6|A0A8D8GDQ6_CULPI	***	Ferrochelatase		GO:0004325, GO:0005743, GO:0006779, GO:0006783, GO:0016829
LOC_00014260-mRNA-1	tr|B0WLV4|B0WLV4_CULQU	***	Lactoylglutathione lyase		GO:0016020, GO:0016829
LOC_00014413-mRNA-1	tr|B0XFI8|B0XFI8_CULQU	***	DNA polymerase IV		GO:0003684, GO:0006281, GO:0050896, GO:0071897
LOC_00014311-mRNA-1			Unknown protein		
LOC_00014516-mRNA-48	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-49	tr|A0A8D8FDC3|A0A8D8FDC3_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-46	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-47	tr|A0A6I8T5T5|A0A6I8T5T5_AEDAE	*-*	RRM domain-containing protein		GO:0003676, GO:0003723, GO:0005737
LOC_00014516-mRNA-44	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-45	tr|A0A8D8FDC3|A0A8D8FDC3_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-42	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-43	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-40	tr|A0A8D8IAT0|A0A8D8IAT0_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-41	tr|A0A8D8PGI9|A0A8D8PGI9_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-57	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-55	tr|A0A6I8T5T5|A0A6I8T5T5_AEDAE	*-*	RRM domain-containing protein		GO:0003676, GO:0003723, GO:0005737
LOC_00014516-mRNA-56	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-53	tr|A0A8D8PGI9|A0A8D8PGI9_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-54	tr|A0A8D8FDC3|A0A8D8FDC3_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-51	tr|A0A8D8FDC3|A0A8D8FDC3_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-52	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-50	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-28	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-29	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-26	tr|A0A8D8IAT0|A0A8D8IAT0_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-27	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	*-*	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-24	tr|A0A8D8PGI9|A0A8D8PGI9_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-25	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-22	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-23	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-20	tr|A0A8D8N1F5|A0A8D8N1F5_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
LOC_00014516-mRNA-21	tr|A0A8D8PFI2|A0A8D8PFI2_CULPI	***	Heterogeneous nuclear ribonucleoprotein Q		GO:0003676, GO:0003723, GO:0005737, GO:1990904
